AAD30508	AAD30508.1
YP_743666	YP_743666.1
P22859	sp|P22859.4|RBL1B_ALLVD
P22849	sp|P22849.3|RBL1A_ALLVI
ZP_00862357	ZP_00862357.1
ZP_00599453	ZP_00599453.1
YP_001002624	YP_001002624.1
Q51856	sp|Q51856.1|RBL_HYDTE
Q59460	sp|Q59460.1|RBL1B_HYDMR
AAU91176	AAU91176.1
ZP_00628048	ZP_00628048.1
Q59613	sp|Q59613.1|RBL_NITVU
ABA05246	ABA05246.1
CAD85832	CAD85832.1
YP_747036	YP_747036.1
AAP99596	AAP99596.1
ABB49611	ABB49611.1
NP_895035	NP_895035.1
O32740	sp|O32740.1|RBL1_RHOCB
YP_568687	YP_568687.1
AAT01429	AAT01429.1
ABB34521	ABB34521.1
ABB26572	ABB26572.1
P96486	sp|P96486.1|RBL_SYNPW
CAE08233	CAE08233.1
YP_316382	YP_316382.1
ABB41023	ABB41023.1
ABB41434	ABB41434.1
EDH70269	EDH70269.1
EDJ35923	EDJ35923.1
ECW27924	ECW27924.1
EDJ53092	EDJ53092.1
AAR37722	AAR37722.1
ABA23512	ABA23512.1
P00877	sp|P00877.1|RBL_CHLRE
BAA01765	BAA01765.1
ZP_00516814	ZP_00516814.1
NP_041936	NP_041936.1
BAC90097	BAC90097.1
P00876	sp|P00876.2|RBL_TOBAC
ZP_00108159	ZP_00108159.1
BAB77890	BAB77890.1
P27568	sp|P27568.1|RBL_PROHO
EAH88772	EAH88772.1
P00875	sp|P00875.1|RBL_SPIOL
P00880	sp|P00880.2|RBL_SYNP6
CAA46773	CAA46773.1
BAC09058	BAC09058.1
ZP_00674058	ZP_00674058.1
ZP_00629446	ZP_00629446.1
AAA26115	AAA26115.1
ZP_00243663	ZP_00243663.1
ZP_00243775	ZP_00243775.1
CAC48591	CAC48591.1
ZP_01200598	ZP_01200598.1
P23011	sp|P23011.1|RBL_XANFL
ZP_01146719	ZP_01146719.1
AAB41464	AAB41464.1
BAC47850	BAC47850.1
ZP_00859065	ZP_00859065.1
ZP_00859216	ZP_00859216.1
ZP_00283421	ZP_00283421.1
P48692	sp|P48692.1|RBL_HAPHI
AAA84192	AAA84192.1
P24313	sp|P24313.1|RBL_ECTSI
YP_277313	YP_277313.1
ZP_00626373	ZP_00626373.1
ABA06179	ABA06179.1
ABA56859	ABA56859.1
YP_411385	YP_411385.1
NP_043654	NP_043654.1
P14959	sp|P14959.2|RBL_OLILU
Q08051	sp|Q08051.1|RBL_CHRCT
Q09119	sp|Q09119.1|RBL_PORAE
YP_780293	YP_780293.1
YP_531208	YP_531208.1
YP_570844	YP_570844.1
CAE27000	CAE27000.1
YP_487568	YP_487568.1
EDB85359	EDB85359.1
EBN02296	EBN02296.1
EDC15610	EDC15610.1
EDD64574	EDD64574.1
AAZ48366	AAZ48366.1
Q59462	sp|Q59462.3|RBL2_HYDMR
AAA98748	AAA98748.1
AAL76920	AAL76920.1
YP_422059	YP_422059.1
YP_982208	YP_982208.1
AF463409	AAQ04822.2
P50922	sp|P50922.1|RBL2_RHOCA
ABA80879	ABA80879.1
YP_522655	YP_522655.1
YP_781603	YP_781603.1
YP_532762	YP_532762.1
YP_568193	YP_568193.1
CAE30081	CAE30081.1
YP_484572	YP_484572.1
CAA25080	CAA25080.1
AAG37859	AAG37859.1
YP_316396	YP_316396.1
ABB41020	ABB41020.1
ECW52658	ECW52658.1
ZP_00563653	ZP_00563653.1
ZP_01153096	ZP_01153096.1
YP_503739	YP_503739.1
AAB99239	AAB99239.1
AAM07894	AAM07894.1
AAZ69876	AAZ69876.1
AAM30945	AAM30945.1
NP_070466	NP_070466.1
YP_001012710	YP_001012710.1
ZP_01391373	ZP_01391373.1
CAI49476	CAI49476.1
CAB50122	CAB50122.1
AAL81280	AAL81280.1
BAA30036	BAA30036.1
BAD86479	BAD86479.1
YP_920628	YP_920628.1
ZP_01146529	ZP_01146529.1
CAE31534	CAE31534.1
ZP_00284840	ZP_00284840.1
