Form	Organism	Accession
IA	Acidithiobacillus ferrooxidans	AAD30508
IA	Alkalilimnicola ehrlichei MLHE-1	YP_743666
IA	Allochromatium vinosum	P22859
IA	Allochromatium vinosum	P22849
IA	Bradyrhizobium sp. BTAi1	ZP_00862357
IA	Cupriavidus (Rasltonia) metallidurans	ZP_00599453
IA	Halorhodospira halophila SL1	YP_001002624
IA	Hydrogenophilus thermoluteolus	Q51856
IA	Hydrogenovibrio marinus	Q59460
IA	Methylococcus capsulatus str. Bath	AAU91176
IA	Nitrobacter hamburgensis X14	ZP_00628048
IA	Nitrobacter vulgaris	Q59613
IA	Nitrobacter winogradskyi Nb-255	ABA05246
IA	Nitrosomonas europaea ATCC 19718	CAD85832
IA	Nitrosomonas eutropha C91	YP_747036
IA	Prochlorococcus marinus str. CCMP1375	AAP99596
IA	Prochlorococcus marinus str. MIT9312	ABB49611
IA	Prochlorococcus marinus str. MIT9313	NP_895035
IA	Rhodobacter capsulatus	O32740
IA	Rhodopseudomonas palustris BisB5	YP_568687
IA	Solemya velum gill symbiont	AAT01429
IA	Synechococcus sp. CC9605	ABB34521
IA	Synechococcus sp. CC9902	ABB26572
IA	Synechococcus sp. WH 7803	P96486
IA	Synechococcus sp. WH 8102	CAE08233
IA	Thiobacillus denitrificans ATCC 25259	YP_316382
IA	Thiomicrospira crunogena XCL-2	ABB41023
IA	Thiomicrospira crunogena XCL-2	ABB41434
IA	Global Ocean Sampling expedition	EDH70269
IA	Global Ocean Sampling expedition	EDJ35923
IA	Global Ocean Sampling expedition	ECW27924
IA	Global Ocean Sampling expedition	EDJ53092
IA	uncultured bacterium 441	AAR37722
IB	Anabaena variabilis ATCC 29413	ABA23512
IB	Chlamydomonas reinhardtii	P00877
IB	Chlorella ellipsoidea	BAA01765
IB	Crocosphaera watsonii WH 8501	ZP_00516814
IB	Euglena gracilis	NP_041936
IB	Gloeobacter violaceus PCC 7421	BAC90097
IB	Nicotiana tabacum	P00876
IB	Nostoc punctiforme PCC 73102	ZP_00108159
IB	Nostoc sp. PCC 7120	BAB77890
IB	Prochlorothrix hollandica	P27568
IB	Sargasso Sea	EAH88772
IB	Spinacia oleracea	P00875
IB	Synechococcus elongatus PCC 6301	P00880
IB	Synechocystis sp. PCC 6803	CAA46773
IB	Thermosynechococcus BP-1	BAC09058
IB	Trichodesmium erythraeum IMS101	ZP_00674058
IC/D	Paracoccus denitrificans PD1222	ZP_00629446
IC/D	Rhodobacter sphaeroides 2.4.1	AAA26115
IC/D	Rubrivivax gelatinosus	ZP_00243663
IC/D	Rubrivivax gelatinosus PM1	ZP_00243775
IC/D	Sinorhizobium meliloti	CAC48591
IC/D	Xanthobacter autotrophicus Py2	ZP_01200598
IC/D	Xanthobacter flavus	P23011
IC/D	Acidiphilium cryptum JF-5	ZP_01146719
IC/D	Aurantimonas sp. SI85-9A1	AAB41464
IC/D	Bradyrhizobium japonicum USDA110	BAC47850
IC/D	Bradyrhizobium sp. BTAi1	ZP_00859065
IC/D	Bradyrhizobium sp. BTAi1	ZP_00859216
IC/D	Burkholderia xenovorans (fungorum) LB400	ZP_00283421
IC/D	Chrysochromulina hirta	P48692
IC/D	Cylindrotheca sp. strain N1	AAA84192
IC/D	Ectocarpus siliculosus	P24313
IC/D	Emiliania huxleyi	YP_277313
IC/D	Nitrobacter hamburgensis X14 	ZP_00626373
IC/D	Nitrobacter winogradskyi Nb-255	ABA06179
